date;search_volume_btc_usd
11.12.16;14
18.12.16;19
25.12.16;22
01.01.17;33
08.01.17;25
15.01.17;19
22.01.17;17
29.01.17;18
05.02.17;20
12.02.17;16
19.02.17;21
26.02.17;24
05.03.17;24
12.03.17;23
19.03.17;25
26.03.17;21
02.04.17;20
09.04.17;20
16.04.17;19
23.04.17;22
30.04.17;33
07.05.17;41
14.05.17;41
21.05.17;70
28.05.17;48
04.06.17;52
11.06.17;53
18.06.17;44
25.06.17;40
02.07.17;34
09.07.17;36
16.07.17;46
23.07.17;38
30.07.17;43
06.08.17;55
13.08.17;73
20.08.17;53
27.08.17;56
03.09.17;59
10.09.17;66
17.09.17;52
24.09.17;44
01.10.17;42
08.10.17;63
15.10.17;64
22.10.17;62
29.10.17;88
05.11.17;91
12.11.17;100
